YEAR,LOCATION,FERTILIZER: (NITROGEN)APPLICATIONS in LB,"FERTILIZER: (NITROGEN)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (NITROGEN)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (NITROGEN)APPLICATIONS in NUMBER, AVG","FERTILIZER: (NITROGEN)TREATED in PCT OF AREA PLANTED, AVG",FERTILIZER: (PHOSPHATE)APPLICATIONS in LB,"FERTILIZER: (PHOSPHATE)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (PHOSPHATE)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (PHOSPHATE)APPLICATIONS in NUMBER, AVG","FERTILIZER: (POTASH)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (POTASH)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (POTASH)APPLICATIONS in NUMBER, AVG","FERTILIZER: (POTASH)TREATED in PCT OF AREA PLANTED, AVG","FERTILIZER: (SULFUR)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (SULFUR)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (SULFUR)APPLICATIONS in NUMBER, AVG","FERTILIZER: (SULFUR)TREATED in PCT OF AREA PLANTED, AVG"
1996,ARKANSAS,8200000.0,26.0,26.0,1.0,9.0,76400000.0,46.0,48.0,1.0,60.0,60.0,1.0,43.0,,,,
1996,ILLINOIS,32400000.0,22.0,22.0,1.0,15.0,128300000.0,55.0,56.0,1.0,99.0,99.0,1.0,34.0,,,,
1996,INDIANA,37900000.0,26.0,31.0,1.2,23.0,79100000.0,44.0,45.0,1.0,99.0,102.0,1.0,44.0,,,,
1996,IOWA,19500000.0,26.0,26.0,1.0,8.0,55200000.0,49.0,49.0,1.0,75.0,76.0,1.0,14.0,,,,
1996,LOUISIANA,700000.0,14.0,14.0,1.0,4.0,17100000.0,43.0,43.0,1.0,70.0,70.0,1.0,34.0,,,,
1996,MINNESOTA,9200000.0,15.0,15.0,1.0,10.0,38400000.0,47.0,47.0,1.0,69.0,69.0,1.0,10.0,,,,
1996,MISSISSIPPI,2500000.0,13.0,13.0,1.0,11.0,14000000.0,42.0,42.0,1.0,62.0,62.0,1.0,17.0,,,,
1996,MISSOURI,20500000.0,21.0,21.0,1.0,23.0,54900000.0,54.0,54.0,1.0,71.0,71.0,1.0,28.0,,,,
1996,NEBRASKA,10200000.0,12.0,12.0,1.0,28.0,64400000.0,43.0,43.0,1.0,17.0,17.0,1.0,11.0,,,,
1996,OHIO,30400000.0,28.0,34.0,1.2,20.0,50100000.0,46.0,46.0,1.0,101.0,102.0,1.0,36.0,,,,
1996,TENNESSEE,12800000.0,40.0,40.0,1.0,27.0,27500000.0,53.0,53.0,1.0,82.0,82.0,1.0,53.0,,,,
1997,ARKANSAS,9300000.0,38.0,47.0,1.2,6.0,60800000.0,53.0,58.0,1.1,60.0,66.0,1.1,30.0,,,,
1997,DELAWARE,1500000.0,18.0,19.0,1.0,37.0,3800000.0,44.0,45.0,1.0,85.0,86.0,1.0,29.0,,,,
1997,ILLINOIS,12600000.0,11.0,11.0,1.0,11.0,160300000.0,71.0,71.0,1.0,103.0,103.0,1.0,34.0,,,,
1997,INDIANA,40800000.0,39.0,48.0,1.2,16.0,65200000.0,52.0,54.0,1.0,100.0,108.0,1.1,36.0,,,,
1997,IOWA,30400000.0,18.0,18.0,1.0,16.0,129300000.0,53.0,53.0,1.0,76.0,80.0,1.0,25.0,,,,
1997,KANSAS,12100000.0,22.0,24.0,1.1,20.0,14800000.0,33.0,33.0,1.0,48.0,53.0,1.1,15.0,,,,
1997,KENTUCKY,22700000.0,50.0,55.0,1.1,32.0,36900000.0,68.0,68.0,1.0,112.0,112.0,1.0,41.0,,,,
1997,LOUISIANA,5800000.0,29.0,31.0,1.1,13.0,13800000.0,43.0,43.0,1.0,63.0,65.0,1.0,23.0,,,,
1997,MICHIGAN,21300000.0,18.0,18.0,1.0,63.0,49900000.0,54.0,54.0,1.0,71.0,75.0,1.1,71.0,,,,
1997,MINNESOTA,15200000.0,14.0,14.0,1.0,16.0,55600000.0,41.0,41.0,1.0,93.0,93.0,1.0,22.0,,,,
1997,MISSISSIPPI,5400000.0,16.0,16.0,1.0,16.0,25500000.0,53.0,53.0,1.0,88.0,88.0,1.0,26.0,,,,
1997,MISSOURI,17200000.0,24.0,24.0,1.0,15.0,60400000.0,44.0,44.0,1.0,72.0,80.0,1.1,35.0,,,,
1997,NEBRASKA,19500000.0,16.0,18.0,1.1,31.0,45900000.0,40.0,42.0,1.0,20.0,21.0,1.0,16.0,,,,
1997,NORTH CAROLINA,46700000.0,45.0,64.0,1.4,52.0,36800000.0,39.0,39.0,1.0,86.0,95.0,1.1,77.0,,,,
1997,OHIO,11900000.0,15.0,16.0,1.0,16.0,56800000.0,49.0,49.0,1.0,113.0,114.0,1.0,60.0,,,,
1997,PENNSYLVANIA,3400000.0,14.0,17.0,1.3,53.0,8700000.0,34.0,43.0,1.3,71.0,89.0,1.2,59.0,,,,
1997,SOUTH DAKOTA,43300000.0,29.0,36.0,1.2,35.0,42200000.0,36.0,36.0,1.0,23.0,23.0,1.0,18.0,,,,
1997,TENNESSEE,7400000.0,19.0,19.0,1.0,29.0,33100000.0,51.0,52.0,1.0,74.0,77.0,1.0,52.0,,,,
1997,WISCONSIN,8200000.0,14.0,16.0,1.1,53.0,11700000.0,22.0,22.0,1.0,82.0,82.0,1.0,69.0,,,,
1998,ARKANSAS,8600000.0,50.0,50.0,1.0,5.0,65300000.0,63.0,63.0,1.0,74.0,74.0,1.0,29.0,,,,
1998,ILLINOIS,17200000.0,23.0,24.0,1.0,7.0,78700000.0,60.0,60.0,1.0,124.0,124.0,1.0,24.0,,,,
1998,INDIANA,25000000.0,18.0,29.0,1.6,15.0,70400000.0,42.0,48.0,1.1,82.0,88.0,1.1,51.0,,,,
1998,IOWA,20400000.0,18.0,19.0,1.1,10.0,62100000.0,47.0,47.0,1.0,52.0,52.0,1.0,14.0,,,,
1998,KANSAS,7500000.0,16.0,19.0,1.1,16.0,16600000.0,31.0,31.0,1.0,30.0,30.0,1.0,11.0,,,,
1998,KENTUCKY,17000000.0,34.0,40.0,1.2,35.0,58900000.0,83.0,83.0,1.0,96.0,96.0,1.0,63.0,,,,
1998,LOUISIANA,400000.0,13.0,13.0,1.0,3.0,12000000.0,40.0,40.0,1.0,62.0,63.0,1.0,26.0,,,,
1998,MICHIGAN,24300000.0,18.0,18.0,1.0,72.0,54600000.0,39.0,39.0,1.0,63.0,70.0,1.1,75.0,,,,
1998,MINNESOTA,27500000.0,21.0,23.0,1.1,18.0,38100000.0,33.0,33.0,1.0,56.0,56.0,1.0,9.0,,,,
1998,MISSISSIPPI,2100000.0,19.0,19.0,1.0,6.0,10000000.0,47.0,47.0,1.0,72.0,72.0,1.0,16.0,,,,
1998,MISSOURI,25900000.0,21.0,21.0,1.0,24.0,119800000.0,50.0,50.0,1.0,73.0,73.0,1.0,53.0,,,,
1998,NEBRASKA,12100000.0,14.0,15.0,1.1,22.0,27000000.0,37.0,37.0,1.0,22.0,25.0,1.2,8.0,,,,
1998,NORTH CAROLINA,12400000.0,23.0,24.0,1.0,36.0,19400000.0,38.0,38.0,1.0,83.0,83.0,1.0,39.0,,,,
1998,OHIO,16500000.0,15.0,20.0,1.3,19.0,71900000.0,54.0,57.0,1.1,92.0,97.0,1.1,42.0,,,,
1998,SOUTH DAKOTA,29700000.0,27.0,27.0,1.0,32.0,38100000.0,35.0,35.0,1.0,8.0,8.0,1.0,11.0,,,,
1998,TENNESSEE,4500000.0,18.0,18.0,1.0,19.0,20700000.0,46.0,46.0,1.0,61.0,61.0,1.0,39.0,,,,
1999,ARKANSAS,17300000.0,27.0,29.0,1.0,17.0,78000000.0,51.0,52.0,1.0,64.0,66.0,1.0,40.0,,,,
1999,ILLINOIS,16200000.0,18.0,20.0,1.1,7.0,64100000.0,45.0,45.0,1.0,102.0,103.0,1.0,28.0,,,,
1999,INDIANA,33600000.0,21.0,21.0,1.0,28.0,105300000.0,52.0,53.0,1.0,107.0,110.0,1.0,36.0,,,,
1999,IOWA,23500000.0,27.0,30.0,1.1,7.0,103500000.0,55.0,55.0,1.0,72.0,72.0,1.0,22.0,,,,
1999,KANSAS,14900000.0,22.0,23.0,1.0,22.0,19400000.0,30.0,30.0,1.0,18.0,18.0,1.0,15.0,,,,
1999,KENTUCKY,4800000.0,23.0,23.0,1.0,17.0,18300000.0,60.0,61.0,1.0,78.0,79.0,1.0,26.0,,,,
1999,LOUISIANA,1400000.0,25.0,25.0,1.0,5.0,7200000.0,52.0,52.0,1.0,60.0,60.0,1.0,11.0,,,,
1999,MICHIGAN,9500000.0,16.0,16.0,1.0,31.0,27700000.0,32.0,32.0,1.0,83.0,87.0,1.0,65.0,,,,
1999,MINNESOTA,18700000.0,20.0,20.0,1.0,13.0,29500000.0,33.0,33.0,1.0,58.0,58.0,1.0,13.0,,,,
1999,MISSISSIPPI,4200000.0,22.0,22.0,1.0,10.0,14100000.0,48.0,48.0,1.0,56.0,56.0,1.0,22.0,,,,
1999,MISSOURI,11700000.0,15.0,15.0,1.0,15.0,54800000.0,45.0,45.0,1.0,70.0,70.0,1.0,23.0,,,,
1999,NEBRASKA,17800000.0,15.0,17.0,1.1,25.0,31700000.0,29.0,29.0,1.0,23.0,24.0,1.0,16.0,,,,
1999,NORTH CAROLINA,15800000.0,21.0,21.0,1.0,54.0,53900000.0,55.0,55.0,1.0,85.0,85.0,1.0,71.0,,,,
1999,OHIO,14400000.0,15.0,15.0,1.0,21.0,81600000.0,50.0,51.0,1.0,94.0,94.0,1.0,47.0,,,,
1999,PENNSYLVANIA,2800000.0,20.0,21.0,1.0,37.0,7500000.0,48.0,50.0,1.0,62.0,62.0,1.0,43.0,,,,
1999,SOUTH DAKOTA,41300000.0,20.0,21.0,1.0,47.0,88300000.0,45.0,45.0,1.0,27.0,27.0,1.0,19.0,,,,
1999,TENNESSEE,7100000.0,17.0,17.0,1.0,34.0,25900000.0,45.0,45.0,1.0,64.0,64.0,1.0,48.0,,,,
2000,ARKANSAS,21000000.0,55.0,61.0,1.1,10.0,43400000.0,43.0,43.0,1.0,71.0,71.0,1.0,31.0,,,,
2000,ILLINOIS,16800000.0,14.0,15.0,1.0,11.0,77500000.0,47.0,47.0,1.0,93.0,95.0,1.0,29.0,,,,
2000,INDIANA,11000000.0,22.0,29.0,1.3,7.0,53900000.0,65.0,65.0,1.0,112.0,112.0,1.0,33.0,,,,
2000,IOWA,81000000.0,49.0,49.0,1.0,15.0,110100000.0,47.0,47.0,1.0,59.0,59.0,1.0,22.0,,,,
2000,KANSAS,10300000.0,16.0,20.0,1.2,18.0,16900000.0,34.0,36.0,1.0,,,,,,,,
2000,KENTUCKY,7700000.0,34.0,49.0,1.4,13.0,31700000.0,61.0,66.0,1.0,79.0,80.0,1.0,39.0,,,,
2000,LOUISIANA,1500000.0,29.0,29.0,1.0,6.0,7300000.0,38.0,38.0,1.0,65.0,65.0,1.0,26.0,,,,
2000,MICHIGAN,11100000.0,13.0,14.0,1.0,37.0,44800000.0,53.0,53.0,1.0,87.0,87.0,1.0,72.0,,,,
2000,MINNESOTA,10200000.0,16.0,17.0,1.0,8.0,24100000.0,34.0,35.0,1.0,67.0,69.0,1.0,24.0,,,,
2000,MISSISSIPPI,3400000.0,22.0,23.0,1.0,9.0,14300000.0,45.0,45.0,1.0,70.0,70.0,1.0,20.0,,,,
2000,MISSOURI,27500000.0,25.0,26.0,1.0,20.0,98100000.0,68.0,68.0,1.0,69.0,69.0,1.0,27.0,,,,
2000,NEBRASKA,19800000.0,14.0,14.0,1.0,30.0,36700000.0,38.0,40.0,1.0,9.0,9.0,1.0,15.0,,,,
2000,NORTH CAROLINA,12600000.0,24.0,24.0,1.0,38.0,64700000.0,72.0,74.0,1.0,72.0,72.0,1.0,47.0,,,,
2000,NORTH DAKOTA,27800000.0,25.0,32.0,1.2,46.0,25300000.0,31.0,32.0,1.0,,,,,,,,
2000,OHIO,21700000.0,18.0,20.0,1.1,25.0,70200000.0,50.0,50.0,1.0,92.0,92.0,1.0,47.0,,,,
2000,SOUTH DAKOTA,24300000.0,14.0,14.0,1.0,38.0,66000000.0,35.0,35.0,1.0,23.0,23.0,1.0,12.0,,,,
2000,TENNESSEE,3000000.0,14.0,14.0,1.0,18.0,14300000.0,42.0,42.0,1.0,60.0,60.0,1.0,31.0,,,,
2000,WISCONSIN,6500000.0,16.0,18.0,1.1,24.0,16600000.0,36.0,37.0,1.0,75.0,77.0,1.0,40.0,,,,
2001,ARKANSAS,3400000.0,34.0,34.0,1.0,3.0,42800000.0,48.0,49.0,1.0,77.0,77.0,1.0,24.0,,,,
2001,ILLINOIS,42800000.0,37.0,40.0,1.0,10.0,95800000.0,72.0,75.0,1.0,105.0,105.0,1.0,22.0,,,,
2001,INDIANA,11400000.0,16.0,17.0,1.0,12.0,58100000.0,49.0,52.0,1.0,105.0,109.0,1.0,36.0,,,,
2001,IOWA,9900000.0,16.0,17.0,1.1,5.0,47900000.0,45.0,48.0,1.0,66.0,66.0,1.0,10.0,,,,
2001,MINNESOTA,15300000.0,16.0,16.0,1.0,13.0,32300000.0,34.0,34.0,1.0,48.0,48.0,1.0,12.0,,,,
2001,MISSOURI,5400000.0,20.0,20.0,1.0,6.0,52200000.0,45.0,45.0,1.0,57.0,57.0,1.0,22.0,,,,
2001,NEBRASKA,23400000.0,19.0,21.0,1.1,22.0,38300000.0,36.0,36.0,1.0,26.0,26.0,1.0,10.0,,,,
2001,OHIO,19100000.0,22.0,24.0,1.0,17.0,63900000.0,47.0,47.0,1.0,86.0,88.0,1.0,41.0,,,,
2002,ARKANSAS,5200000.0,24.0,24.0,1.0,7.0,57800000.0,54.0,55.0,1.0,62.0,63.0,1.0,35.0,,,,
2002,ILLINOIS,37500000.0,20.0,20.0,1.0,18.0,143100000.0,54.0,54.0,1.0,105.0,105.0,1.0,38.0,,,,
2002,INDIANA,17400000.0,17.0,17.0,1.0,18.0,67900000.0,48.0,48.0,1.0,102.0,104.0,1.0,46.0,,,,
2002,IOWA,9300000.0,26.0,26.0,1.0,3.0,48300000.0,70.0,70.0,1.0,120.0,127.0,1.0,12.0,,,,
2002,KANSAS,12200000.0,17.0,18.0,1.0,24.0,28700000.0,43.0,43.0,1.0,26.0,26.0,1.0,8.0,,,,
2002,KENTUCKY,9600000.0,31.0,35.0,1.1,21.0,30300000.0,64.0,64.0,1.0,95.0,95.0,1.0,38.0,,,,
2002,LOUISIANA,100000.0,11.0,11.0,1.0,2.0,5500000.0,40.0,40.0,1.0,54.0,54.0,1.0,18.0,,,,
2002,MARYLAND,2700000.0,22.0,24.0,1.0,23.0,2900000.0,35.0,35.0,1.0,55.0,55.0,1.0,26.0,,,,
2002,MICHIGAN,24400000.0,26.0,27.0,1.0,44.0,32000000.0,46.0,46.0,1.0,82.0,87.0,1.0,67.0,,,,
2002,MINNESOTA,16100000.0,20.0,20.0,1.0,11.0,34200000.0,38.0,38.0,1.0,52.0,52.0,1.0,10.0,,,,
2002,MISSISSIPPI,3700000.0,22.0,22.0,1.0,12.0,15800000.0,56.0,56.0,1.0,88.0,88.0,1.0,20.0,,,,
2002,MISSOURI,11800000.0,18.0,18.0,1.0,13.0,62900000.0,44.0,44.0,1.0,87.0,87.0,1.0,36.0,,,,
2002,NEBRASKA,23100000.0,15.0,16.0,1.0,31.0,79900000.0,45.0,47.0,1.0,28.0,28.0,1.0,11.0,,,,
2002,NORTH CAROLINA,14400000.0,29.0,29.0,1.0,36.0,25000000.0,51.0,51.0,1.0,91.0,91.0,1.0,41.0,,,,
2002,NORTH DAKOTA,44100000.0,19.0,26.0,1.3,64.0,50500000.0,32.0,32.0,1.0,11.0,12.0,1.0,11.0,,,,
2002,OHIO,14100000.0,13.0,15.0,1.1,20.0,62600000.0,49.0,49.0,1.0,103.0,103.0,1.0,56.0,,,,
2002,SOUTH DAKOTA,32500000.0,18.0,20.0,1.1,37.0,102000000.0,54.0,58.0,1.0,27.0,39.0,1.4,15.0,,,,
