YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA OPERATED in ACRES","AREA OPERATED in ACRES / OPERATION","OPERATIONS in OPERATIONS"
1996,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,700,000",198,"49,000"
1996,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","920,000","1,673",550
1996,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","28,300,000","3,582","7,900"
1996,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,900,000",301,"49,500"
1996,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","29,000,000",337,"86,000"
1996,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","32,500,000","1,102","29,500"
1996,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","380,000",93,"4,100"
1996,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","590,000",211,"2,800"
1996,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,700,000",238,"45,000"
1996,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","11,400,000",233,"49,000"
1996,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,440,000",267,"5,400"
1996,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","12,100,000",504,"24,000"
1996,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,900,000",353,"79,000"
1996,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,600,000",236,"66,000"
1996,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","33,000,000",333,"99,000"
1996,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,500,000",731,"65,000"
1996,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","14,000,000",152,"92,000"
1996,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,300,000",277,"30,000"
1996,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,310,000",182,"7,200"
1996,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,200,000",161,"13,700"
1996,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","570,000",95,"6,000"
1996,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,600,000",196,"54,000"
1996,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","29,200,000",356,"82,000"
1996,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,900,000",283,"42,000"
1996,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,100,000",274,"110,000"
1996,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","58,500,000","2,208","26,500"
1996,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,400,000",829,"56,000"
1996,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,900,000","2,300","3,000"
1996,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","420,000",145,"2,900"
1996,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","840,000",88,"9,500"
1996,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","45,100,000","2,910","15,500"
1996,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,800,000",205,"38,000"
1996,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,500,000",161,"59,000"
1996,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,900,000","1,247","32,000"
1996,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,900,000",191,"78,000"
1996,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","34,000,000",415,"82,000"
1996,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,500,000",455,"38,500"
1996,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,600,000",129,"59,000"
1996,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","65,000",87,750
1996,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","5,000,000",200,"25,000"
1996,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","44,000,000","1,354","32,500"
1996,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","12,000,000",132,"91,000"
1996,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","132,000,000",589,"224,000"
1996,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,400,000",760,"15,000"
1996,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,340,000",206,"6,500"
1996,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,800,000",180,"49,000"
1996,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,700,000",403,"39,000"
1996,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,700,000",176,"21,000"
1996,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","16,600,000",210,"79,000"
1996,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,600,000","3,761","9,200"
1997,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,600,000",196,"49,000"
1997,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","910,000","1,625",560
1997,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","28,300,000","3,582","7,900"
1997,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,800,000",302,"49,000"
1997,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","28,700,000",330,"87,000"
1997,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","32,500,000","1,102","29,500"
1997,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","380,000",93,"4,100"
1997,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","585,000",209,"2,800"
1997,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,600,000",236,"45,000"
1997,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","11,300,000",231,"49,000"
1997,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,440,000",262,"5,500"
1997,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","12,000,000",490,"24,500"
1997,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,800,000",352,"79,000"
1997,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,600,000",236,"66,000"
1997,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","33,000,000",337,"98,000"
1997,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,500,000",731,"65,000"
1997,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,900,000",153,"91,000"
1997,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,200,000",273,"30,000"
1997,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,280,000",183,"7,000"
1997,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,200,000",169,"13,000"
1997,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","570,000",95,"6,000"
1997,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,400,000",196,"53,000"
1997,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","29,100,000",359,"81,000"
1997,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,700,000",279,"42,000"
1997,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,100,000",274,"110,000"
1997,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","57,800,000","2,141","27,000"
1997,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,400,000",844,"55,000"
1997,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,900,000","2,300","3,000"
1997,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","420,000",140,"3,000"
1997,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","830,000",86,"9,600"
1997,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","45,300,000","2,923","15,500"
1997,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,800,000",205,"38,000"
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,500,000",161,"59,000"
1997,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,700,000","1,260","31,500"
1997,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,900,000",189,"79,000"
1997,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","34,000,000",410,"83,000"
1997,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,500,000",449,"39,000"
1997,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,700,000",128,"60,000"
1997,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","65,000",87,750
1997,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","5,000,000",200,"25,000"
1997,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","44,000,000","1,354","32,500"
1997,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","12,000,000",132,"91,000"
1997,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","131,500,000",584,"225,000"
1997,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",773,"15,000"
1997,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,330,000",202,"6,600"
1997,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,800,000",180,"49,000"
1997,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,700,000",403,"39,000"
1997,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,700,000",176,"21,000"
1997,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","16,500,000",209,"79,000"
1997,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,600,000","3,761","9,200"
1998,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,400,000",192,"49,000"
1998,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","910,000","1,569",580
1998,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","27,200,000","2,473","11,000"
1998,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,700,000",300,"49,000"
1998,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","28,500,000",328,"87,000"
1998,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","32,200,000","1,092","29,500"
1998,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","380,000",88,"4,300"
1998,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","580,000",215,"2,700"
1998,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,500,000",233,"45,000"
1998,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","11,050,000",226,"49,000"
1998,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,440,000",262,"5,500"
1998,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","12,000,000",490,"24,500"
1998,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,700,000",351,"79,000"
1998,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,600,000",236,"66,000"
1998,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","32,900,000",339,"97,000"
1998,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,500,000",731,"65,000"
1998,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,800,000",153,"90,000"
1998,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,200,000",273,"30,000"
1998,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,290,000",182,"7,100"
1998,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,180,000",170,"12,800"
1998,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","540,000",90,"6,000"
1998,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,270,000",198,"52,000"
1998,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","28,600,000",358,"80,000"
1998,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,340,000",270,"42,000"
1998,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,150,000",274,"110,000"
1998,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","59,000,000","2,145","27,500"
1998,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,400,000",844,"55,000"
1998,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,400,000","2,032","3,150"
1998,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","430,000",134,"3,200"
1998,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","830,000",86,"9,600"
1998,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","45,400,000","2,454","18,500"
1998,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,750,000",207,"37,500"
1998,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,390,000",162,"58,000"
1998,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,500,000","1,266","31,200"
1998,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,880,000",188,"79,000"
1998,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","33,900,000",408,"83,000"
1998,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,300,000",438,"39,500"
1998,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,670,000",128,"60,000"
1998,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","60,000",75,800
1998,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,970,000",199,"25,000"
1998,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","44,000,000","1,354","32,500"
1998,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,900,000",132,"90,000"
1998,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","131,400,000",580,"226,500"
1998,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",748,"15,500"
1998,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,320,000",197,"6,700"
1998,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,750,000",179,"49,000"
1998,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,700,000",403,"39,000"
1998,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,700,000",176,"21,000"
1998,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","16,300,000",209,"78,000"
1998,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,600,000","3,761","9,200"
1999,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,200,000",192,"48,000"
1999,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","910,000","1,569",580
1999,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","27,000,000","2,477","10,900"
1999,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,650,000",302,"48,500"
1999,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","28,100,000",331,"85,000"
1999,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,900,000","1,063","30,000"
1999,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","370,000",87,"4,250"
1999,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","570,000",219,"2,600"
1999,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,500,000",233,"45,000"
1999,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","11,000,000",224,"49,000"
1999,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,420,000",258,"5,500"
1999,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","11,900,000",486,"24,500"
1999,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,600,000",349,"79,000"
1999,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,400,000",238,"64,800"
1999,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","32,800,000",345,"95,000"
1999,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,500,000",731,"65,000"
1999,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,600,000",149,"91,000"
1999,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,130,000",271,"30,000"
1999,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,320,000",186,"7,100"
1999,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,160,000",171,"12,600"
1999,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","540,000",89,"6,100"
1999,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,190,000",192,"53,000"
1999,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","28,200,000",348,"81,000"
1999,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,220,000",267,"42,000"
1999,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,200,000",275,"110,000"
1999,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","59,200,000","2,129","27,800"
1999,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,300,000",857,"54,000"
1999,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,400,000","2,032","3,150"
1999,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","440,000",133,"3,300"
1999,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","830,000",86,"9,600"
1999,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","45,100,000","2,506","18,000"
1999,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,710,000",206,"37,500"
1999,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,300,000",160,"58,000"
1999,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,400,000","1,271","31,000"
1999,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,850,000",188,"79,000"
1999,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","33,900,000",404,"84,000"
1999,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,300,000",433,"40,000"
1999,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,670,000",129,"59,300"
1999,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","60,000",75,800
1999,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,940,000",198,"25,000"
1999,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","44,000,000","1,354","32,500"
1999,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,900,000",134,"89,000"
1999,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","131,100,000",576,"227,500"
1999,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",748,"15,500"
1999,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,300,000",194,"6,700"
1999,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,730,000",178,"49,000"
1999,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,650,000",412,"38,000"
1999,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,600,000",171,"21,000"
1999,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","16,200,000",208,"78,000"
1999,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,600,000","3,761","9,200"
2000,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,000,000",191,"47,000"
2000,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","910,000","1,569",580
2000,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","26,900,000","2,514","10,700"
2000,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,600,000",304,"48,000"
2000,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","28,000,000",337,"83,100"
2000,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,600,000","1,053","30,000"
2000,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","360,000",86,"4,200"
2000,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","560,000",215,"2,600"
2000,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,400,000",236,"44,000"
2000,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","10,900,000",222,"49,100"
2000,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,380,000",251,"5,500"
2000,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","11,900,000",486,"24,500"
2000,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,500,000",357,"77,000"
2000,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,200,000",240,"63,400"
2000,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","32,500,000",346,"94,000"
2000,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,500,000",736,"64,500"
2000,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,700,000",152,"90,000"
2000,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,030,000",277,"29,000"
2000,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,350,000",190,"7,100"
2000,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,130,000",172,"12,400"
2000,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","540,000",89,"6,100"
2000,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,150,000",192,"53,000"
2000,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","27,900,000",344,"81,000"
2000,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,160,000",266,"42,000"
2000,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,200,000",277,"109,000"
2000,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","59,300,000","2,133","27,800"
2000,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,100,000",887,"52,000"
2000,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,400,000","2,065","3,100"
2000,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","440,000",133,"3,300"
