YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA OPERATED in ACRES","AREA OPERATED in ACRES / OPERATION","OPERATIONS in OPERATIONS"
2000,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","830,000",86,"9,700"
2000,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","44,900,000","2,494","18,000"
2000,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,670,000",205,"37,500"
2000,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,210,000",166,"55,500"
2000,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,400,000","1,279","30,800"
2000,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,770,000",187,"79,000"
2000,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","33,800,000",400,"84,500"
2000,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,300,000",433,"40,000"
2000,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,690,000",130,"59,000"
2000,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","60,000",75,800
2000,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,910,000",203,"24,200"
2000,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","44,000,000","1,358","32,400"
2000,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,800,000",134,"88,000"
2000,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","130,900,000",573,"228,300"
2000,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",748,"15,500"
2000,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,270,000",192,"6,600"
2000,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,710,000",180,"48,500"
2000,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,550,000",420,"37,000"
2000,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,600,000",173,"20,800"
2000,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","16,000,000",206,"77,500"
2000,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,500,000","3,750","9,200"
2001,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","8,900,000",193,"46,000"
2001,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","900,000","1,500",600
2001,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","26,700,000","2,567","10,400"
2001,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,600,000",304,"48,000"
2001,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","27,800,000",343,"81,000"
2001,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,400,000","1,016","30,900"
2001,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","360,000",86,"4,200"
2001,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","550,000",220,"2,500"
2001,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,300,000",234,"44,000"
2001,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","10,850,000",221,"49,200"
2001,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,350,000",245,"5,500"
2001,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","11,800,000",482,"24,500"
2001,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,500,000",367,"75,000"
2001,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,100,000",243,"62,100"
2001,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","32,000,000",348,"92,000"
2001,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,300,000",733,"64,500"
2001,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,800,000",157,"88,000"
2001,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","7,910,000",283,"28,000"
2001,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,350,000",189,"7,150"
2001,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,100,000",171,"12,300"
2001,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","520,000",85,"6,100"
2001,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,120,000",191,"53,000"
2001,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","27,800,000",343,"81,000"
2001,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,130,000",265,"42,000"
2001,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,200,000",280,"108,000"
2001,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","59,600,000","2,144","27,800"
2001,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,000,000",920,"50,000"
2001,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,300,000","2,066","3,050"
2001,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","440,000",133,"3,300"
2001,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","830,000",85,"9,800"
2001,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","44,800,000","2,517","17,800"
2001,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,660,000",204,"37,500"
2001,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,120,000",166,"55,000"
2001,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,400,000","1,288","30,600"
2001,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,680,000",188,"78,000"
2001,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","33,800,000",402,"84,000"
2001,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,200,000",430,"40,000"
2001,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,710,000",132,"58,500"
2001,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","60,000",72,830
2001,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,880,000",200,"24,400"
2001,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","43,900,000","1,372","32,000"
2001,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,800,000",134,"88,000"
2001,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","130,700,000",572,"228,600"
2001,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",748,"15,500"
2001,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,270,000",192,"6,600"
2001,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,680,000",181,"47,900"
2001,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,400,000",422,"36,500"
2001,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,600,000",173,"20,800"
2001,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","15,800,000",205,"77,000"
2001,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,500,000","3,750","9,200"
2002,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","8,900,000",198,"45,000"
2002,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","900,000","1,475",610
2002,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","26,600,000","2,583","10,300"
2002,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,500,000",305,"47,500"
2002,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","27,600,000",346,"79,700"
2002,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,100,000",990,"31,400"
2002,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","360,000",86,"4,200"
2002,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","540,000",225,"2,400"
2002,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,300,000",234,"44,000"
2002,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","10,800,000",219,"49,300"
2002,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,300,000",236,"5,500"
2002,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","11,800,000",472,"25,000"
2002,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,500,000",377,"73,000"
2002,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,100,000",250,"60,300"
2002,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","31,800,000",351,"90,600"
2002,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,300,000",733,"64,500"
2002,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,800,000",159,"87,000"
2002,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","7,900,000",287,"27,500"
2002,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,370,000",190,"7,200"
2002,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,080,000",170,"12,200"
2002,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","520,000",85,"6,100"
2002,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,090,000",189,"53,300"
2002,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","27,800,000",344,"80,900"
2002,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,110,000",263,"42,200"
2002,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,200,000",282,"107,000"
2002,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","59,800,000","2,143","27,900"
2002,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","45,900,000",929,"49,400"
2002,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,300,000","2,100","3,000"
2002,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","450,000",132,"3,400"
2002,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","820,000",83,"9,900"
2002,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","44,800,000","2,531","17,700"
2002,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,660,000",207,"37,000"
2002,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,100,000",168,"54,200"
2002,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,400,000","1,292","30,500"
2002,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,610,000",188,"77,800"
2002,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","33,700,000",404,"83,500"
2002,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,200,000",430,"40,000"
2002,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,700,000",132,"58,200"
2002,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","60,000",71,850
2002,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,850,000",198,"24,500"
2002,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","43,800,000","1,377","31,800"
2002,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,700,000",134,"87,500"
2002,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","130,500,000",570,"229,000"
2002,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",758,"15,300"
2002,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,260,000",191,"6,600"
2002,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,670,000",182,"47,600"
2002,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,350,000",426,"36,000"
2002,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,600,000",173,"20,800"
2002,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","15,700,000",204,"77,000"
2002,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","34,500,000","3,750","9,200"
2003,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,000,000",200,"45,000"
2003,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","900,000","1,475",610
2003,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","26,520,000","2,575","10,300"
2003,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,300,000",301,"47,500"
2003,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","26,900,000",343,"78,500"
2003,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,100,000",990,"31,400"
2003,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","370,000",88,"4,200"
2003,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","530,000",230,"2,300"
2003,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,040,000",228,"44,000"
2003,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","10,800,000",219,"49,300"
2003,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,300,000",236,"5,500"
2003,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","11,800,000",472,"25,000"
2003,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,400,000",375,"73,000"
2003,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,000,000",252,"59,500"
2003,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","31,600,000",351,"90,000"
2003,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,000,000",729,"64,500"
2003,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,900,000",160,"87,000"
2003,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","7,900,000",290,"27,200"
2003,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,370,000",190,"7,200"
2003,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,060,000",170,"12,100"
2003,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","520,000",85,"6,100"
2003,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,100,000",189,"53,300"
2003,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","27,600,000",345,"80,000"
2003,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,110,000",260,"42,800"
2003,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","29,900,000",282,"106,000"
2003,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","60,300,000","2,154","28,000"
2003,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","45,900,000",946,"48,500"
2003,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,200,000","2,067","3,000"
2003,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","450,000",132,"3,400"
2003,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","810,000",82,"9,900"
2003,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","44,300,000","2,531","17,500"
2003,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,590,000",205,"37,000"
2003,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,100,000",170,"53,500"
2003,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,400,000","1,300","30,300"
2003,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,600,000",188,"77,600"
2003,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","34,000,000",407,"83,500"
2003,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,100,000",428,"40,000"
2003,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,700,000",132,"58,200"
2003,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","70,000",82,850
2003,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,860,000",199,"24,400"
2003,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","43,800,000","1,386","31,600"
2003,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,500,000",132,"87,000"
2003,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","130,500,000",570,"229,000"
2003,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,600,000",758,"15,300"
2003,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,250,000",192,"6,500"
2003,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,500,000",179,"47,500"
2003,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,300,000",431,"35,500"
2003,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,600,000",173,"20,800"
2003,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","15,600,000",204,"76,500"
2003,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","33,700,000","3,663","9,200"
2004,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","8,900,000",202,"44,000"
2004,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","900,000","1,452",620
2004,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","26,400,000","2,588","10,200"
2004,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,200,000",299,"47,500"
2004,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","26,400,000",343,"77,000"
2004,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,100,000","1,006","30,900"
2004,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","380,000",90,"4,200"
2004,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","530,000",230,"2,300"
2004,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","9,830,000",228,"43,200"
2004,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","10,800,000",220,"49,000"
2004,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,200,000",218,"5,500"
2004,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","11,700,000",468,"25,000"
2004,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,200,000",374,"72,800"
2004,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","14,900,000",251,"59,300"
2004,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","31,400,000",350,"89,700"
2004,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","46,800,000",726,"64,500"
2004,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","13,900,000",164,"85,000"
2004,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,000,000",296,"27,000"
2004,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,370,000",190,"7,200"
2004,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,060,000",170,"12,100"
2004,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","520,000",85,"6,100"
2004,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,100,000",190,"53,200"
2004,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","27,400,000",344,"79,600"
2004,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,050,000",262,"42,200"
2004,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","29,700,000",280,"106,000"
2004,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","60,400,000","2,157","28,000"
2004,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","45,800,000",948,"48,300"
2004,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,100,000","2,033","3,000"
2004,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","450,000",132,"3,400"
2004,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","790,000",80,"9,900"
2004,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","44,000,000","2,514","17,500"
2004,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,490,000",208,"36,000"
2004,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,000,000",173,"52,000"
2004,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,400,000","1,300","30,300"
2004,OHIO,39,"  ","   ",YEAR,"FARM OPERATIONS","14,500,000",188,"77,200"
2004,OKLAHOMA,40,"  ","   ",YEAR,"FARM OPERATIONS","34,300,000",411,"83,500"
2004,OREGON,41,"  ","   ",YEAR,"FARM OPERATIONS","17,000,000",425,"40,000"
2004,PENNSYLVANIA,42,"  ","   ",YEAR,"FARM OPERATIONS","7,700,000",132,"58,200"
2004,"RHODE ISLAND",44,"  ","   ",YEAR,"FARM OPERATIONS","70,000",82,850
2004,"SOUTH CAROLINA",45,"  ","   ",YEAR,"FARM OPERATIONS","4,870,000",200,"24,400"
2004,"SOUTH DAKOTA",46,"  ","   ",YEAR,"FARM OPERATIONS","43,800,000","1,386","31,600"
2004,TENNESSEE,47,"  ","   ",YEAR,"FARM OPERATIONS","11,500,000",135,"85,000"
2004,TEXAS,48,"  ","   ",YEAR,"FARM OPERATIONS","130,000,000",568,"229,000"
2004,UTAH,49,"  ","   ",YEAR,"FARM OPERATIONS","11,500,000",752,"15,300"
2004,VERMONT,50,"  ","   ",YEAR,"FARM OPERATIONS","1,250,000",195,"6,400"
2004,VIRGINIA,51,"  ","   ",YEAR,"FARM OPERATIONS","8,400,000",177,"47,500"
2004,WASHINGTON,53,"  ","   ",YEAR,"FARM OPERATIONS","15,100,000",431,"35,000"
2004,"WEST VIRGINIA",54,"  ","   ",YEAR,"FARM OPERATIONS","3,600,000",173,"20,800"
2004,WISCONSIN,55,"  ","   ",YEAR,"FARM OPERATIONS","15,500,000",203,"76,500"
2004,WYOMING,56,"  ","   ",YEAR,"FARM OPERATIONS","33,000,000","3,587","9,200"
2005,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","8,800,000",202,"43,500"
2005,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","900,000","1,406",640
2005,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","26,250,000","2,599","10,100"
2005,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,200,000",302,"47,000"
2005,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","25,900,000",339,"76,500"
2005,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","31,100,000","1,020","30,500"
2005,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","390,000",93,"4,200"
2005,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","520,000",226,"2,300"
2005,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","9,570,000",228,"42,000"
2005,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","10,700,000",218,"49,000"
